CodeLinter report

No  File                                                       Line  Column  Severity  Rule                                                                Message                                                                       
--  ---------------------------------------------------------  ----  ------  --------  ------------------------------------------------------------------  ------------------------------------------------------------------------------
1   entry/src/main/ets/components/common/MarkdownView.ets      361   15      Warning   @performance/avoid-overusing-custom-component-check                 Preferentially use the @Builder method instead of custom components.
2   entry/src/main/ets/components/common/States.ets            7     15      Warning   @performance/avoid-overusing-custom-component-check                 Preferentially use the @Builder method instead of custom components.
3   entry/src/main/ets/components/common/States.ets            36    15      Warning   @performance/avoid-overusing-custom-component-check                 Preferentially use the @Builder method instead of custom components.
4   entry/src/main/ets/components/common/States.ets            54    15      Warning   @performance/avoid-overusing-custom-component-check                 Preferentially use the @Builder method instead of custom components.
5   entry/src/main/ets/components/entry/TimelineEntryView.ets  1114  11      Warning   @performance/hp-arkui-replace-nested-reusable-component-by-builder  Prioritize @Builder over nested custom components
6   entry/src/main/ets/components/entry/TimelineEntryView.ets  1116  11      Warning   @performance/hp-arkui-replace-nested-reusable-component-by-builder  Prioritize @Builder over nested custom components
7   entry/src/main/ets/components/GlowSettings.ets             7     15      Warning   @performance/avoid-overusing-custom-component-check                 Preferentially use the @Builder method instead of custom components.
8   entry/src/main/ets/pages/Day.ets                           468   7       Warning   @performance/hp-arkui-no-state-var-access-in-loop                   Avoid frequent state variable reads inside loop logic
9   entry/src/main/ets/pages/Day.ets                           476   9       Warning   @performance/hp-arkui-no-state-var-access-in-loop                   Avoid frequent state variable reads inside loop logic
10  entry/src/main/ets/pages/Day.ets                           505   23      Warning   @performance/reuse-date-instances-check                             Avoid repeated creation of Date objects in loops or frequently called methods.
11  entry/src/main/ets/pages/Day.ets                           563   9       Warning   @performance/hp-arkui-no-state-var-access-in-loop                   Avoid frequent state variable reads inside loop logic
12  entry/src/main/ets/pages/Reader.ets                        369   17      Warning   @performance/reuse-date-instances-check                             Avoid repeated creation of Date objects in loops or frequently called methods.
13  entry/src/main/ets/pages/Reader.ets                        976   7       Warning   @performance/hp-arkui-no-state-var-access-in-loop                   Avoid frequent state variable reads inside loop logic
14  entry/src/main/ets/pages/Report.ets                        147   7       Warning   @performance/hp-arkui-no-state-var-access-in-loop                   Avoid frequent state variable reads inside loop logic
15  entry/src/main/ets/pages/Study.ets                         74    7       Warning   @performance/hp-arkui-no-state-var-access-in-loop                   Avoid frequent state variable reads inside loop logic
16  entry/src/main/ets/pages/Study.ets                         108   9       Warning   @performance/hp-arkui-no-state-var-access-in-loop                   Avoid frequent state variable reads inside loop logic
17  entry/src/main/ets/pages/Study.ets                         116   13      Warning   @performance/hp-arkui-no-state-var-access-in-loop                   Avoid frequent state variable reads inside loop logic
18  entry/src/main/ets/pages/TodayTask.ets                     199   7       Warning   @performance/hp-arkui-no-state-var-access-in-loop                   Avoid frequent state variable reads inside loop logic
19  entry/src/main/ets/pages/TodayTask.ets                     319   7       Warning   @performance/hp-arkui-no-state-var-access-in-loop                   Avoid frequent state variable reads inside loop logic
Summary: Issues: 19 | Errors: 0 | Warnings: 19 | Suggestions: 0 | Files checked: 9

New version 1.3.3 available, run `devecocli update` to upgrade
